"Line_Width
References : ['Ldiff','Qdiff','Leff','Q','Reff']
Dependency : [Line_Width]
Num. Points : [9]
Matrix Size : scalar
Type : Real","Turns
References : ['Ldiff','Qdiff','Leff','Q','Reff']
Dependency : [Line_Width,Turns]
Num. Points : [9,3]
Matrix Size : scalar
Type : Real","Line_space
References : ['Ldiff','Qdiff','Leff','Q','Reff']
Dependency : [Line_Width,Turns,Line_space]
Num. Points : [9,3,1]
Matrix Size : scalar
Type : Real","Y_Dimension
References : ['Ldiff','Qdiff','Leff','Q','Reff']
Dependency : [Line_Width,Turns,Line_space,Y_Dimension]
Num. Points : [9,3,1,6]
Matrix Size : scalar
Type : Real","X_Dimension
References : ['Ldiff','Qdiff','Leff','Q','Reff']
Dependency : [Line_Width,Turns,Line_space,Y_Dimension,X_Dimension]
Num. Points : [9,3,1,6,6]
Matrix Size : scalar
Type : Real","freq
References : ['Ldiff','Qdiff','Leff','Q','Reff']
Dependency : [Line_Width,Turns,Line_space,Y_Dimension,X_Dimension,freq]
Num. Points : [9,3,1,6,6,181]
Matrix Size : scalar
Type : Real","Ldiff
References : []
Dependency : [Line_Width,Turns,Line_space,Y_Dimension,X_Dimension,freq]
Num. Points : [9,3,1,6,6,181]
Matrix Size : scalar
Type : Real","Qdiff
References : []
Dependency : [Line_Width,Turns,Line_space,Y_Dimension,X_Dimension,freq]
Num. Points : [9,3,1,6,6,181]
Matrix Size : scalar
Type : Real","Leff
References : []
Dependency : [Line_Width,Turns,Line_space,Y_Dimension,X_Dimension,freq]
Num. Points : [9,3,1,6,6,181]
Matrix Size : scalar
Type : Real","Q
References : []
Dependency : [Line_Width,Turns,Line_space,Y_Dimension,X_Dimension,freq]
Num. Points : [9,3,1,6,6,181]
Matrix Size : scalar
Type : Real","Reff
References : []
Dependency : [Line_Width,Turns,Line_space,Y_Dimension,X_Dimension,freq]
Num. Points : [9,3,1,6,6,181]
Matrix Size : scalar
Type : Real"
2.000,1.000,3.000,100.000,100.000,2.000 GHz,2.671E-10,2.871,2.672E-10,2.871,1.170
2.000,1.000,3.000,100.000,100.000,2.100 GHz,2.671E-10,3.014,2.672E-10,3.013,1.170
2.000,1.000,3.000,100.000,100.000,2.200 GHz,2.671E-10,3.156,2.672E-10,3.156,1.170
2.000,1.000,3.000,100.000,100.000,2.300 GHz,2.671E-10,3.299,2.672E-10,3.298,1.171
2.000,1.000,3.000,100.000,100.000,2.400 GHz,2.671E-10,3.441,2.672E-10,3.440,1.171
2.000,1.000,3.000,100.000,100.000,2.500 GHz,2.671E-10,3.583,2.672E-10,3.582,1.172
2.000,1.000,3.000,100.000,100.000,2.600 GHz,2.671E-10,3.725,2.672E-10,3.724,1.172
2.000,1.000,3.000,100.000,100.000,2.700 GHz,2.671E-10,3.867,2.672E-10,3.866,1.173
2.000,1.000,3.000,100.000,100.000,2.800 GHz,2.671E-10,4.009,2.672E-10,4.007,1.173
2.000,1.000,3.000,100.000,100.000,2.900 GHz,2.671E-10,4.151,2.672E-10,4.149,1.174
2.000,1.000,3.000,100.000,100.000,3.000 GHz,2.671E-10,4.292,2.673E-10,4.290,1.174
2.000,1.000,3.000,100.000,100.000,3.100 GHz,2.671E-10,4.433,2.673E-10,4.431,1.175
2.000,1.000,3.000,100.000,100.000,3.200 GHz,2.671E-10,4.574,2.673E-10,4.572,1.175
2.000,1.000,3.000,100.000,100.000,3.300 GHz,2.671E-10,4.715,2.673E-10,4.712,1.176
2.000,1.000,3.000,100.000,100.000,3.400 GHz,2.671E-10,4.856,2.673E-10,4.853,1.177
2.000,1.000,3.000,100.000,100.000,3.500 GHz,2.672E-10,4.996,2.673E-10,4.993,1.177
2.000,1.000,3.000,100.000,100.000,3.600 GHz,2.672E-10,5.137,2.673E-10,5.133,1.178
2.000,1.000,3.000,100.000,100.000,3.700 GHz,2.672E-10,5.277,2.673E-10,5.273,1.179
2.000,1.000,3.000,100.000,100.000,3.800 GHz,2.672E-10,5.416,2.673E-10,5.412,1.179
2.000,1.000,3.000,100.000,100.000,3.900 GHz,2.672E-10,5.556,2.674E-10,5.552,1.180
2.000,1.000,3.000,100.000,100.000,4.000 GHz,2.672E-10,5.696,2.674E-10,5.691,1.181
2.000,1.000,3.000,100.000,100.000,4.100 GHz,2.672E-10,5.835,2.674E-10,5.830,1.182
2.000,1.000,3.000,100.000,100.000,4.200 GHz,2.672E-10,5.974,2.674E-10,5.968,1.182
2.000,1.000,3.000,100.000,100.000,4.300 GHz,2.672E-10,6.113,2.674E-10,6.107,1.183
2.000,1.000,3.000,100.000,100.000,4.400 GHz,2.672E-10,6.251,2.674E-10,6.245,1.184
2.000,1.000,3.000,100.000,100.000,4.500 GHz,2.672E-10,6.389,2.674E-10,6.383,1.185
2.000,1.000,3.000,100.000,100.000,4.600 GHz,2.672E-10,6.527,2.675E-10,6.520,1.186
2.000,1.000,3.000,100.000,100.000,4.700 GHz,2.672E-10,6.665,2.675E-10,6.658,1.186
2.000,1.000,3.000,100.000,100.000,4.800 GHz,2.672E-10,6.803,2.675E-10,6.795,1.187
2.000,1.000,3.000,100.000,100.000,4.900 GHz,2.672E-10,6.940,2.675E-10,6.932,1.188
2.000,1.000,3.000,100.000,100.000,5.000 GHz,2.672E-10,7.077,2.675E-10,7.068,1.189
2.000,1.000,3.000,100.000,100.000,5.100 GHz,2.672E-10,7.214,2.675E-10,7.204,1.190
2.000,1.000,3.000,100.000,100.000,5.200 GHz,2.672E-10,7.351,2.676E-10,7.340,1.191
2.000,1.000,3.000,100.000,100.000,5.300 GHz,2.672E-10,7.487,2.676E-10,7.476,1.192
2.000,1.000,3.000,100.000,100.000,5.400 GHz,2.672E-10,7.623,2.676E-10,7.611,1.193
2.000,1.000,3.000,100.000,100.000,5.500 GHz,2.672E-10,7.758,2.676E-10,7.746,1.194
2.000,1.000,3.000,100.000,100.000,5.600 GHz,2.672E-10,7.894,2.676E-10,7.881,1.195
2.000,1.000,3.000,100.000,100.000,5.700 GHz,2.672E-10,8.029,2.676E-10,8.016,1.196
2.000,1.000,3.000,100.000,100.000,5.800 GHz,2.672E-10,8.164,2.677E-10,8.150,1.197
2.000,1.000,3.000,100.000,100.000,5.900 GHz,2.672E-10,8.298,2.677E-10,8.284,1.198
2.000,1.000,3.000,100.000,100.000,6.000 GHz,2.672E-10,8.433,2.677E-10,8.417,1.199
2.000,1.000,3.000,100.000,100.000,6.100 GHz,2.672E-10,8.567,2.677E-10,8.550,1.200
2.000,1.000,3.000,100.000,100.000,6.200 GHz,2.673E-10,8.700,2.677E-10,8.683,1.201
2.000,1.000,3.000,100.000,100.000,6.300 GHz,2.673E-10,8.834,2.678E-10,8.816,1.202
2.000,1.000,3.000,100.000,100.000,6.400 GHz,2.673E-10,8.967,2.678E-10,8.948,1.203
2.000,1.000,3.000,100.000,100.000,6.500 GHz,2.673E-10,9.100,2.678E-10,9.080,1.205
2.000,1.000,3.000,100.000,100.000,6.600 GHz,2.673E-10,9.232,2.678E-10,9.211,1.206
2.000,1.000,3.000,100.000,100.000,6.700 GHz,2.673E-10,9.364,2.679E-10,9.343,1.207
2.000,1.000,3.000,100.000,100.000,6.800 GHz,2.673E-10,9.496,2.679E-10,9.474,1.208
2.000,1.000,3.000,100.000,100.000,6.900 GHz,2.673E-10,9.627,2.679E-10,9.604,1.209
2.000,1.000,3.000,100.000,100.000,7.000 GHz,2.673E-10,9.759,2.679E-10,9.734,1.211
2.000,1.000,3.000,100.000,100.000,7.100 GHz,2.673E-10,9.889,2.680E-10,9.864,1.212
2.000,1.000,3.000,100.000,100.000,7.200 GHz,2.673E-10,10.020,2.680E-10,9.993,1.213
2.000,1.000,3.000,100.000,100.000,7.300 GHz,2.673E-10,10.150,2.680E-10,10.123,1.214
2.000,1.000,3.000,100.000,100.000,7.400 GHz,2.673E-10,10.280,2.680E-10,10.251,1.216
2.000,1.000,3.000,100.000,100.000,7.500 GHz,2.673E-10,10.410,2.681E-10,10.380,1.217
2.000,1.000,3.000,100.000,100.000,7.600 GHz,2.673E-10,10.539,2.681E-10,10.508,1.218
2.000,1.000,3.000,100.000,100.000,7.700 GHz,2.673E-10,10.668,2.681E-10,10.635,1.220
2.000,1.000,3.000,100.000,100.000,7.800 GHz,2.673E-10,10.796,2.681E-10,10.763,1.221
2.000,1.000,3.000,100.000,100.000,7.900 GHz,2.674E-10,10.924,2.682E-10,10.889,1.222
2.000,1.000,3.000,100.000,100.000,8.000 GHz,2.674E-10,11.052,2.682E-10,11.016,1.224
2.000,1.000,3.000,100.000,100.000,8.100 GHz,2.674E-10,11.180,2.682E-10,11.142,1.225
2.000,1.000,3.000,100.000,100.000,8.200 GHz,2.674E-10,11.307,2.683E-10,11.268,1.227
2.000,1.000,3.000,100.000,100.000,8.300 GHz,2.674E-10,11.434,2.683E-10,11.393,1.228
2.000,1.000,3.000,100.000,100.000,8.400 GHz,2.674E-10,11.560,2.683E-10,11.518,1.229
2.000,1.000,3.000,100.000,100.000,8.500 GHz,2.674E-10,11.686,2.683E-10,11.643,1.231
2.000,1.000,3.000,100.000,100.000,8.600 GHz,2.674E-10,11.812,2.684E-10,11.767,1.232
2.000,1.000,3.000,100.000,100.000,8.700 GHz,2.674E-10,11.937,2.684E-10,11.891,1.234
2.000,1.000,3.000,100.000,100.000,8.800 GHz,2.674E-10,12.062,2.684E-10,12.014,1.235
2.000,1.000,3.000,100.000,100.000,8.900 GHz,2.674E-10,12.187,2.685E-10,12.137,1.237
2.000,1.000,3.000,100.000,100.000,9.000 GHz,2.674E-10,12.311,2.685E-10,12.260,1.238
2.000,1.000,3.000,100.000,100.000,9.100 GHz,2.675E-10,12.435,2.685E-10,12.382,1.240
2.000,1.000,3.000,100.000,100.000,9.200 GHz,2.675E-10,12.559,2.686E-10,12.504,1.242
2.000,1.000,3.000,100.000,100.000,9.300 GHz,2.675E-10,12.682,2.686E-10,12.626,1.243
2.000,1.000,3.000,100.000,100.000,9.400 GHz,2.675E-10,12.805,2.686E-10,12.747,1.245
2.000,1.000,3.000,100.000,100.000,9.500 GHz,2.675E-10,12.927,2.687E-10,12.867,1.246
2.000,1.000,3.000,100.000,100.000,9.600 GHz,2.675E-10,13.050,2.687E-10,12.987,1.248
2.000,1.000,3.000,100.000,100.000,9.700 GHz,2.675E-10,13.171,2.687E-10,13.107,1.250
2.000,1.000,3.000,100.000,100.000,9.800 GHz,2.675E-10,13.293,2.688E-10,13.227,1.251
2.000,1.000,3.000,100.000,100.000,9.900 GHz,2.675E-10,13.414,2.688E-10,13.346,1.253
2.000,1.000,3.000,100.000,100.000,10.00 GHz,2.676E-10,13.534,2.689E-10,13.464,1.255
2.000,1.000,3.000,100.000,100.000,10.10 GHz,2.676E-10,13.655,2.689E-10,13.582,1.256
2.000,1.000,3.000,100.000,100.000,10.20 GHz,2.676E-10,13.775,2.689E-10,13.700,1.258
2.000,1.000,3.000,100.000,100.000,10.30 GHz,2.676E-10,13.894,2.690E-10,13.817,1.260
