Line_Width,Turns,Line_space,Y_Dimension,X_Dimension,freq,Ldiff,Qdiff,Leff,Q,Reff
2,1,3,100,100,2.000 GHz,2.67E-10,2.871,2.67E-10,2.871,1.17
2,1,3,100,100,2.100 GHz,2.67E-10,3.014,2.67E-10,3.013,1.17
2,1,3,100,100,2.200 GHz,2.67E-10,3.156,2.67E-10,3.156,1.17
2,1,3,100,100,2.300 GHz,2.67E-10,3.299,2.67E-10,3.298,1.171
2,1,3,100,100,2.400 GHz,2.67E-10,3.441,2.67E-10,3.44,1.171
2,1,3,100,100,2.500 GHz,2.67E-10,3.583,2.67E-10,3.582,1.172
2,1,3,100,100,2.600 GHz,2.67E-10,3.725,2.67E-10,3.724,1.172
2,1,3,100,100,2.700 GHz,2.67E-10,3.867,2.67E-10,3.866,1.173
2,1,3,100,100,2.800 GHz,2.67E-10,4.009,2.67E-10,4.007,1.173
2,1,3,100,100,2.900 GHz,2.67E-10,4.151,2.67E-10,4.149,1.174
2,1,3,100,100,3.000 GHz,2.67E-10,4.292,2.67E-10,4.29,1.174
2,1,3,100,100,3.100 GHz,2.67E-10,4.433,2.67E-10,4.431,1.175
2,1,3,100,100,3.200 GHz,2.67E-10,4.574,2.67E-10,4.572,1.175
2,1,3,100,100,3.300 GHz,2.67E-10,4.715,2.67E-10,4.712,1.176
2,1,3,100,100,3.400 GHz,2.67E-10,4.856,2.67E-10,4.853,1.177
2,1,3,100,100,3.500 GHz,2.67E-10,4.996,2.67E-10,4.993,1.177
2,1,3,100,100,3.600 GHz,2.67E-10,5.137,2.67E-10,5.133,1.178
2,1,3,100,100,3.700 GHz,2.67E-10,5.277,2.67E-10,5.273,1.179
2,1,3,100,100,3.800 GHz,2.67E-10,5.416,2.67E-10,5.412,1.179
2,1,3,100,100,3.900 GHz,2.67E-10,5.556,2.67E-10,5.552,1.18
2,1,3,100,100,4.000 GHz,2.67E-10,5.696,2.67E-10,5.691,1.181
2,1,3,100,100,4.100 GHz,2.67E-10,5.835,2.67E-10,5.83,1.182
2,1,3,100,100,4.200 GHz,2.67E-10,5.974,2.67E-10,5.968,1.182
2,1,3,100,100,4.300 GHz,2.67E-10,6.113,2.67E-10,6.107,1.183
2,1,3,100,100,4.400 GHz,2.67E-10,6.251,2.67E-10,6.245,1.184
2,1,3,100,100,4.500 GHz,2.67E-10,6.389,2.67E-10,6.383,1.185
2,1,3,100,100,4.600 GHz,2.67E-10,6.527,2.68E-10,6.52,1.186
2,1,3,100,100,4.700 GHz,2.67E-10,6.665,2.68E-10,6.658,1.186
2,1,3,100,100,4.800 GHz,2.67E-10,6.803,2.68E-10,6.795,1.187
2,1,3,100,100,4.900 GHz,2.67E-10,6.94,2.68E-10,6.932,1.188
2,1,3,100,100,5.000 GHz,2.67E-10,7.077,2.68E-10,7.068,1.189
2,1,3,100,100,5.100 GHz,2.67E-10,7.214,2.68E-10,7.204,1.19
2,1,3,100,100,5.200 GHz,2.67E-10,7.351,2.68E-10,7.34,1.191
2,1,3,100,100,5.300 GHz,2.67E-10,7.487,2.68E-10,7.476,1.192
2,1,3,100,100,5.400 GHz,2.67E-10,7.623,2.68E-10,7.611,1.193
2,1,3,100,100,5.500 GHz,2.67E-10,7.758,2.68E-10,7.746,1.194
2,1,3,100,100,5.600 GHz,2.67E-10,7.894,2.68E-10,7.881,1.195
2,1,3,100,100,5.700 GHz,2.67E-10,8.029,2.68E-10,8.016,1.196
2,1,3,100,100,5.800 GHz,2.67E-10,8.164,2.68E-10,8.15,1.197
2,1,3,100,100,5.900 GHz,2.67E-10,8.298,2.68E-10,8.284,1.198
2,1,3,100,100,6.000 GHz,2.67E-10,8.433,2.68E-10,8.417,1.199
2,1,3,100,100,6.100 GHz,2.67E-10,8.567,2.68E-10,8.55,1.2
2,1,3,100,100,6.200 GHz,2.67E-10,8.7,2.68E-10,8.683,1.201
2,1,3,100,100,6.300 GHz,2.67E-10,8.834,2.68E-10,8.816,1.202
2,1,3,100,100,6.400 GHz,2.67E-10,8.967,2.68E-10,8.948,1.203
2,1,3,100,100,6.500 GHz,2.67E-10,9.1,2.68E-10,9.08,1.205
2,1,3,100,100,6.600 GHz,2.67E-10,9.232,2.68E-10,9.211,1.206
2,1,3,100,100,6.700 GHz,2.67E-10,9.364,2.68E-10,9.343,1.207
2,1,3,100,100,6.800 GHz,2.67E-10,9.496,2.68E-10,9.474,1.208
2,1,3,100,100,6.900 GHz,2.67E-10,9.627,2.68E-10,9.604,1.209
2,1,3,100,100,7.000 GHz,2.67E-10,9.759,2.68E-10,9.734,1.211
2,1,3,100,100,7.100 GHz,2.67E-10,9.889,2.68E-10,9.864,1.212
2,1,3,100,100,7.200 GHz,2.67E-10,10.02,2.68E-10,9.993,1.213
2,1,3,100,100,7.300 GHz,2.67E-10,10.15,2.68E-10,10.123,1.214
2,1,3,100,100,7.400 GHz,2.67E-10,10.28,2.68E-10,10.251,1.216
2,1,3,100,100,7.500 GHz,2.67E-10,10.41,2.68E-10,10.38,1.217
2,1,3,100,100,7.600 GHz,2.67E-10,10.539,2.68E-10,10.508,1.218
2,1,3,100,100,7.700 GHz,2.67E-10,10.668,2.68E-10,10.635,1.22
2,1,3,100,100,7.800 GHz,2.67E-10,10.796,2.68E-10,10.763,1.221
2,1,3,100,100,7.900 GHz,2.67E-10,10.924,2.68E-10,10.889,1.222
2,1,3,100,100,8.000 GHz,2.67E-10,11.052,2.68E-10,11.016,1.224
2,1,3,100,100,8.100 GHz,2.67E-10,11.18,2.68E-10,11.142,1.225
2,1,3,100,100,8.200 GHz,2.67E-10,11.307,2.68E-10,11.268,1.227
2,1,3,100,100,8.300 GHz,2.67E-10,11.434,2.68E-10,11.393,1.228
2,1,3,100,100,8.400 GHz,2.67E-10,11.56,2.68E-10,11.518,1.229
2,1,3,100,100,8.500 GHz,2.67E-10,11.686,2.68E-10,11.643,1.231
2,1,3,100,100,8.600 GHz,2.67E-10,11.812,2.68E-10,11.767,1.232
2,1,3,100,100,8.700 GHz,2.67E-10,11.937,2.68E-10,11.891,1.234
2,1,3,100,100,8.800 GHz,2.67E-10,12.062,2.68E-10,12.014,1.235
2,1,3,100,100,8.900 GHz,2.67E-10,12.187,2.69E-10,12.137,1.237
2,1,3,100,100,9.000 GHz,2.67E-10,12.311,2.69E-10,12.26,1.238
2,1,3,100,100,9.100 GHz,2.68E-10,12.435,2.69E-10,12.382,1.24
2,1,3,100,100,9.200 GHz,2.68E-10,12.559,2.69E-10,12.504,1.242
2,1,3,100,100,9.300 GHz,2.68E-10,12.682,2.69E-10,12.626,1.243
2,1,3,100,100,9.400 GHz,2.68E-10,12.805,2.69E-10,12.747,1.245
2,1,3,100,100,9.500 GHz,2.68E-10,12.927,2.69E-10,12.867,1.246
2,1,3,100,100,9.600 GHz,2.68E-10,13.05,2.69E-10,12.987,1.248
2,1,3,100,100,9.700 GHz,2.68E-10,13.171,2.69E-10,13.107,1.25
2,1,3,100,100,9.800 GHz,2.68E-10,13.293,2.69E-10,13.227,1.251
2,1,3,100,100,9.900 GHz,2.68E-10,13.414,2.69E-10,13.346,1.253
2,1,3,100,100,10.00 GHz,2.68E-10,13.534,2.69E-10,13.464,1.255
2,1,3,100,100,10.10 GHz,2.68E-10,13.655,2.69E-10,13.582,1.256
2,1,3,100,100,10.20 GHz,2.68E-10,13.775,2.69E-10,13.7,1.258
2,1,3,100,100,10.30 GHz,2.68E-10,13.894,2.69E-10,13.817,1.26
2,1,3,100,100,10.40 GHz,2.68E-10,14.013,2.69E-10,13.934,1.262
2,1,3,100,100,10.50 GHz,2.68E-10,14.132,2.69E-10,14.051,1.263
2,1,3,100,100,10.60 GHz,2.68E-10,14.251,2.69E-10,14.167,1.265
2,1,3,100,100,10.70 GHz,2.68E-10,14.369,2.69E-10,14.282,1.267
2,1,3,100,100,10.80 GHz,2.68E-10,14.486,2.69E-10,14.398,1.269
2,1,3,100,100,10.90 GHz,2.68E-10,14.604,2.69E-10,14.512,1.27
2,1,3,100,100,11.00 GHz,2.68E-10,14.72,2.69E-10,14.627,1.272
2,1,3,100,100,11.10 GHz,2.68E-10,14.837,2.69E-10,14.741,1.274
2,1,3,100,100,11.20 GHz,2.68E-10,14.953,2.69E-10,14.854,1.276
2,1,3,100,100,11.30 GHz,2.68E-10,15.069,2.69E-10,14.967,1.278
2,1,3,100,100,11.40 GHz,2.68E-10,15.184,2.69E-10,15.08,1.28
2,1,3,100,100,11.50 GHz,2.68E-10,15.299,2.70E-10,15.192,1.282
2,1,3,100,100,11.60 GHz,2.68E-10,15.414,2.70E-10,15.304,1.284
2,1,3,100,100,11.70 GHz,2.68E-10,15.528,2.70E-10,15.415,1.286
2,1,3,100,100,11.80 GHz,2.68E-10,15.642,2.70E-10,15.526,1.288
2,1,3,100,100,11.90 GHz,2.68E-10,15.756,2.70E-10,15.636,1.29
2,1,3,100,100,12.00 GHz,2.68E-10,15.869,2.70E-10,15.746,1.292
2,1,3,100,100,12.10 GHz,2.68E-10,15.981,2.70E-10,15.856,1.294
2,1,3,100,100,12.20 GHz,2.68E-10,16.094,2.70E-10,15.965,1.296
2,1,3,100,100,12.30 GHz,2.68E-10,16.206,2.70E-10,16.073,1.298
2,1,3,100,100,12.40 GHz,2.68E-10,16.317,2.70E-10,16.181,1.3
2,1,3,100,100,12.50 GHz,2.68E-10,16.429,2.70E-10,16.289,1.302
2,1,3,100,100,12.60 GHz,2.68E-10,16.539,2.70E-10,16.396,1.304
2,1,3,100,100,12.70 GHz,2.68E-10,16.65,2.70E-10,16.503,1.306
2,1,3,100,100,12.80 GHz,2.68E-10,16.76,2.70E-10,16.609,1.308
2,1,3,100,100,12.90 GHz,2.68E-10,16.87,2.70E-10,16.715,1.31
2,1,3,100,100,13.00 GHz,2.68E-10,16.979,2.70E-10,16.821,1.312
2,1,3,100,100,13.10 GHz,2.68E-10,17.088,2.70E-10,16.926,1.314
2,1,3,100,100,13.20 GHz,2.68E-10,17.197,2.70E-10,17.03,1.317
2,1,3,100,100,13.30 GHz,2.68E-10,17.305,2.70E-10,17.134,1.319
2,1,3,100,100,13.40 GHz,2.68E-10,17.413,2.70E-10,17.238,1.321
2,1,3,100,100,13.50 GHz,2.68E-10,17.52,2.71E-10,17.341,1.323
2,1,3,100,100,13.60 GHz,2.68E-10,17.627,2.71E-10,17.443,1.325
2,1,3,100,100,13.70 GHz,2.68E-10,17.734,2.71E-10,17.545,1.328
2,1,3,100,100,13.80 GHz,2.68E-10,17.841,2.71E-10,17.647,1.33
2,1,3,100,100,13.90 GHz,2.68E-10,17.947,2.71E-10,17.748,1.332
2,1,3,100,100,14.00 GHz,2.68E-10,18.052,2.71E-10,17.849,1.335
2,1,3,100,100,14.10 GHz,2.68E-10,18.158,2.71E-10,17.949,1.337
2,1,3,100,100,14.20 GHz,2.68E-10,18.263,2.71E-10,18.049,1.339
2,1,3,100,100,14.30 GHz,2.68E-10,18.367,2.71E-10,18.148,1.342
2,1,3,100,100,14.40 GHz,2.68E-10,18.472,2.71E-10,18.247,1.344
2,1,3,100,100,14.50 GHz,2.68E-10,18.575,2.71E-10,18.345,1.346
2,1,3,100,100,14.60 GHz,2.68E-10,18.679,2.71E-10,18.443,1.349
2,1,3,100,100,14.70 GHz,2.68E-10,18.782,2.71E-10,18.541,1.351
2,1,3,100,100,14.80 GHz,2.68E-10,18.885,2.71E-10,18.637,1.354
2,1,3,100,100,14.90 GHz,2.68E-10,18.988,2.71E-10,18.734,1.356
2,1,3,100,100,15.00 GHz,2.68E-10,19.09,2.71E-10,18.83,1.358
2,1,3,100,100,15.10 GHz,2.68E-10,19.192,2.72E-10,18.925,1.361
2,1,3,100,100,15.20 GHz,2.68E-10,19.293,2.72E-10,19.02,1.363
2,1,3,100,100,15.30 GHz,2.69E-10,19.394,2.72E-10,19.114,1.366
2,1,3,100,100,15.40 GHz,2.69E-10,19.495,2.72E-10,19.208,1.369
2,1,3,100,100,15.50 GHz,2.69E-10,19.596,2.72E-10,19.301,1.371
2,1,3,100,100,15.60 GHz,2.69E-10,19.696,2.72E-10,19.394,1.374
2,1,3,100,100,15.70 GHz,2.69E-10,19.796,2.72E-10,19.486,1.376
2,1,3,100,100,15.80 GHz,2.69E-10,19.895,2.72E-10,19.578,1.379
2,1,3,100,100,15.90 GHz,2.69E-10,19.994,2.72E-10,19.669,1.382
2,1,3,100,100,16.00 GHz,2.69E-10,20.093,2.72E-10,19.76,1.384
2,1,3,100,100,16.10 GHz,2.69E-10,20.191,2.72E-10,19.85,1.387
2,1,3,100,100,16.20 GHz,2.69E-10,20.29,2.72E-10,19.939,1.39
2,1,3,100,100,16.30 GHz,2.69E-10,20.387,2.72E-10,20.028,1.392
2,1,3,100,100,16.40 GHz,2.69E-10,20.485,2.72E-10,20.117,1.395
2,1,3,100,100,16.50 GHz,2.69E-10,20.582,2.72E-10,20.204,1.398
2,1,3,100,100,16.60 GHz,2.69E-10,20.678,2.73E-10,20.291,1.401
2,1,3,100,100,16.70 GHz,2.69E-10,20.775,2.73E-10,20.378,1.403
2,1,3,100,100,16.80 GHz,2.69E-10,20.87,2.73E-10,20.463,1.406
2,1,3,100,100,16.90 GHz,2.69E-10,20.966,2.73E-10,20.548,1.409
2,1,3,100,100,17.00 GHz,2.69E-10,21.061,2.73E-10,20.633,1.412
2,1,3,100,100,17.10 GHz,2.69E-10,21.155,2.73E-10,20.716,1.415
2,1,3,100,100,17.20 GHz,2.69E-10,21.249,2.73E-10,20.799,1.418
2,1,3,100,100,17.30 GHz,2.69E-10,21.343,2.73E-10,20.881,1.421
2,1,3,100,100,17.40 GHz,2.69E-10,21.436,2.73E-10,20.963,1.424
2,1,3,100,100,17.50 GHz,2.69E-10,21.529,2.73E-10,21.043,1.427
2,1,3,100,100,17.60 GHz,2.69E-10,21.621,2.73E-10,21.123,1.43
2,1,3,100,100,17.70 GHz,2.69E-10,21.712,2.73E-10,21.201,1.434
2,1,3,100,100,17.80 GHz,2.69E-10,21.803,2.73E-10,21.279,1.437
2,1,3,100,100,17.90 GHz,2.69E-10,21.893,2.73E-10,21.356,1.44
2,1,3,100,100,18.00 GHz,2.69E-10,21.982,2.74E-10,21.431,1.443
2,1,3,100,100,18.10 GHz,2.69E-10,22.071,2.74E-10,21.506,1.447
2,1,3,100,100,18.20 GHz,2.69E-10,22.159,2.74E-10,21.579,1.45
2,1,3,100,100,18.30 GHz,2.69E-10,22.246,2.74E-10,21.652,1.454
2,1,3,100,100,18.40 GHz,2.69E-10,22.332,2.74E-10,21.723,1.457
2,1,3,100,100,18.50 GHz,2.69E-10,22.417,2.74E-10,21.793,1.461
2,1,3,100,100,18.60 GHz,2.69E-10,22.502,2.74E-10,21.861,1.465
2,1,3,100,100,18.70 GHz,2.69E-10,22.585,2.74E-10,21.928,1.468
2,1,3,100,100,18.80 GHz,2.69E-10,22.667,2.74E-10,21.994,1.472
2,1,3,100,100,18.90 GHz,2.69E-10,22.748,2.74E-10,22.058,1.476
2,1,3,100,100,19.00 GHz,2.69E-10,22.828,2.74E-10,22.121,1.48
2,1,3,100,100,19.10 GHz,2.69E-10,22.907,2.74E-10,22.182,1.484
2,1,3,100,100,19.20 GHz,2.69E-10,22.984,2.74E-10,22.241,1.488
2,1,3,100,100,19.30 GHz,2.69E-10,23.06,2.75E-10,22.299,1.493
2,1,3,100,100,19.40 GHz,2.69E-10,23.135,2.75E-10,22.355,1.497
2,1,3,100,100,19.50 GHz,2.69E-10,23.208,2.75E-10,22.409,1.502
2,1,3,100,100,19.60 GHz,2.70E-10,23.279,2.75E-10,22.461,1.506
2,1,3,100,100,19.70 GHz,2.70E-10,23.349,2.75E-10,22.511,1.511
2,1,3,100,100,19.80 GHz,2.70E-10,23.417,2.75E-10,22.56,1.516
2,1,3,100,100,19.90 GHz,2.70E-10,23.484,2.75E-10,22.606,1.521
2,1,3,100,100,20.00 GHz,2.70E-10,23.549,2.75E-10,22.65,1.526
2,1,3,100,120,2.000 GHz,3.02E-10,2.946,3.02E-10,2.945,1.29
2,1,3,100,120,2.100 GHz,3.02E-10,3.092,3.02E-10,3.091,1.29
2,1,3,100,120,2.200 GHz,3.02E-10,3.238,3.02E-10,3.237,1.291
2,1,3,100,120,2.300 GHz,3.02E-10,3.384,3.02E-10,3.383,1.291
2,1,3,100,120,2.400 GHz,3.02E-10,3.53,3.02E-10,3.529,1.292
2,1,3,100,120,2.500 GHz,3.02E-10,3.676,3.02E-10,3.675,1.292
2,1,3,100,120,2.600 GHz,3.02E-10,3.822,3.02E-10,3.82,1.293
2,1,3,100,120,2.700 GHz,3.02E-10,3.968,3.02E-10,3.966,1.293
2,1,3,100,120,2.800 GHz,3.02E-10,4.113,3.02E-10,4.111,1.294
2,1,3,100,120,2.900 GHz,3.02E-10,4.258,3.02E-10,4.256,1.294
2,1,3,100,120,3.000 GHz,3.02E-10,4.403,3.02E-10,4.401,1.295
2,1,3,100,120,3.100 GHz,3.02E-10,4.548,3.02E-10,4.545,1.296
2,1,3,100,120,3.200 GHz,3.02E-10,4.693,3.02E-10,4.69,1.296
2,1,3,100,120,3.300 GHz,3.02E-10,4.837,3.02E-10,4.834,1.297
2,1,3,100,120,3.400 GHz,3.02E-10,4.982,3.02E-10,4.978,1.298
2,1,3,100,120,3.500 GHz,3.02E-10,5.126,3.02E-10,5.122,1.299
2,1,3,100,120,3.600 GHz,3.02E-10,5.27,3.03E-10,5.265,1.299
2,1,3,100,120,3.700 GHz,3.02E-10,5.414,3.03E-10,5.409,1.3
2,1,3,100,120,3.800 GHz,3.02E-10,5.557,3.03E-10,5.552,1.301
2,1,3,100,120,3.900 GHz,3.02E-10,5.7,3.03E-10,5.695,1.302
2,1,3,100,120,4.000 GHz,3.02E-10,5.844,3.03E-10,5.838,1.303
2,1,3,100,120,4.100 GHz,3.02E-10,5.986,3.03E-10,5.98,1.303
2,1,3,100,120,4.200 GHz,3.02E-10,6.129,3.03E-10,6.122,1.304
2,1,3,100,120,4.300 GHz,3.02E-10,6.272,3.03E-10,6.264,1.305
2,1,3,100,120,4.400 GHz,3.02E-10,6.414,3.03E-10,6.406,1.306
2,1,3,100,120,4.500 GHz,3.02E-10,6.556,3.03E-10,6.547,1.307
2,1,3,100,120,4.600 GHz,3.02E-10,6.697,3.03E-10,6.688,1.308
2,1,3,100,120,4.700 GHz,3.02E-10,6.839,3.03E-10,6.829,1.309
2,1,3,100,120,4.800 GHz,3.02E-10,6.98,3.03E-10,6.97,1.31
2,1,3,100,120,4.900 GHz,3.02E-10,7.121,3.03E-10,7.11,1.311
2,1,3,100,120,5.000 GHz,3.02E-10,7.261,3.03E-10,7.25,1.312
2,1,3,100,120,5.100 GHz,3.02E-10,7.402,3.03E-10,7.39,1.313
2,1,3,100,120,5.200 GHz,3.02E-10,7.542,3.03E-10,7.529,1.314
2,1,3,100,120,5.300 GHz,3.02E-10,7.682,3.03E-10,7.668,1.315
2,1,3,100,120,5.400 GHz,3.02E-10,7.821,3.03E-10,7.807,1.316
2,1,3,100,120,5.500 GHz,3.02E-10,7.961,3.03E-10,7.946,1.317
2,1,3,100,120,5.600 GHz,3.02E-10,8.1,3.03E-10,8.084,1.319
2,1,3,100,120,5.700 GHz,3.02E-10,8.238,3.03E-10,8.222,1.32
2,1,3,100,120,5.800 GHz,3.02E-10,8.377,3.03E-10,8.359,1.321
2,1,3,100,120,5.900 GHz,3.02E-10,8.515,3.03E-10,8.496,1.322
2,1,3,100,120,6.000 GHz,3.02E-10,8.653,3.03E-10,8.633,1.323
2,1,3,100,120,6.100 GHz,3.02E-10,8.79,3.03E-10,8.77,1.325
2,1,3,100,120,6.200 GHz,3.02E-10,8.927,3.03E-10,8.906,1.326
2,1,3,100,120,6.300 GHz,3.02E-10,9.064,3.03E-10,9.042,1.327
2,1,3,100,120,6.400 GHz,3.02E-10,9.201,3.03E-10,9.177,1.328
2,1,3,100,120,6.500 GHz,3.02E-10,9.337,3.03E-10,9.312,1.33
2,1,3,100,120,6.600 GHz,3.02E-10,9.473,3.03E-10,9.447,1.331
2,1,3,100,120,6.700 GHz,3.03E-10,9.609,3.03E-10,9.582,1.332
2,1,3,100,120,6.800 GHz,3.03E-10,9.744,3.03E-10,9.716,1.334
2,1,3,100,120,6.900 GHz,3.03E-10,9.879,3.03E-10,9.85,1.335
2,1,3,100,120,7.000 GHz,3.03E-10,10.014,3.03E-10,9.983,1.337
2,1,3,100,120,7.100 GHz,3.03E-10,10.148,3.03E-10,10.116,1.338
2,1,3,100,120,7.200 GHz,3.03E-10,10.282,3.03E-10,10.249,1.339
2,1,3,100,120,7.300 GHz,3.03E-10,10.416,3.04E-10,10.381,1.341
2,1,3,100,120,7.400 GHz,3.03E-10,10.549,3.04E-10,10.513,1.342
2,1,3,100,120,7.500 GHz,3.03E-10,10.682,3.04E-10,10.644,1.344
2,1,3,100,120,7.600 GHz,3.03E-10,10.815,3.04E-10,10.775,1.345
2,1,3,100,120,7.700 GHz,3.03E-10,10.947,3.04E-10,10.906,1.347
2,1,3,100,120,7.800 GHz,3.03E-10,11.079,3.04E-10,11.036,1.348
2,1,3,100,120,7.900 GHz,3.03E-10,11.211,3.04E-10,11.166,1.35
2,1,3,100,120,8.000 GHz,3.03E-10,11.342,3.04E-10,11.296,1.352
