Freq(Hz),S11_real,S11_imag,S21_real,S21_imag,S12_real,S12_imag,S22_real,S22_imag
1,1e+08,0.999839,-0.00695475,-1.11557e-05,6.53765e-05,-1.11557e-05,6.53765e-05,0.999992,-0.00110655
1,2e+08,0.999364,-0.0138353,-4.38429e-05,0.000136899,-4.38429e-05,0.000136899,0.999969,-0.00220976
1,3e+08,0.998585,-0.0206205,-9.70388e-05,0.000216411,-9.70388e-05,0.000216411,0.99993,-0.00330917
1,4e+08,0.997517,-0.0272907,-0.000169546,0.000305612,-0.000169546,0.000305612,0.999876,-0.00440433
1,5e+08,0.996172,-0.0338277,-0.000260013,0.000406044,-0.000260013,0.000406044,0.999808,-0.00549482
1,6e+08,0.994568,-0.0402153,-0.000366961,0.000519073,-0.000366961,0.000519073,0.999725,-0.00658021
1,7e+08,0.99272,-0.0464391,-0.000488807,0.000645877,-0.000488807,0.000645877,0.999628,-0.00766012
1,8e+08,0.990647,-0.0524866,-0.000623891,0.000787441,-0.000623891,0.000787441,0.999517,-0.00873416
1,9e+08,0.988367,-0.0583474,-0.000770504,0.000944553,-0.000770504,0.000944553,0.999393,-0.00980198
1,1e+09,0.9859,-0.0640131,-0.000926913,0.00111781,-0.000926913,0.00111781,0.999256,-0.0108632
1,1.1e+09,0.983264,-0.0694771,-0.00109139,0.00130761,-0.00109139,0.00130761,0.999107,-0.0119177
1,1.2e+09,0.980479,-0.074735,-0.00126221,0.00151417,-0.00126221,0.00151417,0.998945,-0.0129649
1,1.3e+09,0.977564,-0.0797839,-0.0014377,0.00173757,-0.0014377,0.00173757,0.998772,-0.0140048
1,1.4e+09,0.974537,-0.0846229,-0.00161626,0.00197769,-0.00161626,0.00197769,0.998588,-0.015037
1,1.5e+09,0.971415,-0.0892525,-0.00179632,0.00223427,-0.00179632,0.00223427,0.998393,-0.0160614
1,1.6e+09,0.968216,-0.0936746,-0.00197642,0.00250695,-0.00197642,0.00250695,0.998188,-0.0170776
1,1.7e+09,0.964956,-0.0978924,-0.0021552,0.00279522,-0.0021552,0.00279522,0.997973,-0.0180857
1,1.8e+09,0.96165,-0.10191,-0.00233137,0.00309847,-0.00233137,0.00309847,0.997749,-0.0190853
1,1.9e+09,0.958313,-0.105734,-0.00250377,0.00341603,-0.00250377,0.00341603,0.997516,-0.0200764
1,2e+09,0.954957,-0.109368,-0.00267135,0.00374714,-0.00267135,0.00374714,0.997275,-0.0210589
1,2.1e+09,0.951596,-0.112821,-0.00283314,0.00409098,-0.00283314,0.00409098,0.997026,-0.0220326
1,2.2e+09,0.948239,-0.116099,-0.00298832,0.0044467,-0.00298832,0.0044467,0.996769,-0.0229974
1,2.3e+09,0.944898,-0.119211,-0.00313614,0.00481342,-0.00313614,0.00481342,0.996506,-0.0239532
1,2.4e+09,0.941581,-0.122163,-0.00327599,0.00519023,-0.00327599,0.00519023,0.996236,-0.0249001
1,2.5e+09,0.938298,-0.124965,-0.00340732,0.00557622,-0.00340732,0.00557622,0.99596,-0.0258379
1,2.6e+09,0.935056,-0.127625,-0.0035297,0.0059705,-0.0035297,0.0059705,0.995679,-0.0267666
1,2.7e+09,0.93186,-0.130151,-0.00364278,0.00637217,-0.00364278,0.00637217,0.995392,-0.0276862
1,2.8e+09,0.928716,-0.132553,-0.00374629,0.00678035,-0.00374629,0.00678035,0.995101,-0.0285967
1,2.9e+09,0.92563,-0.134837,-0.00384003,0.0071942,-0.00384003,0.0071942,0.994806,-0.0294979
1,3e+09,0.922605,-0.137014,-0.00392386,0.00761288,-0.00392386,0.00761288,0.994507,-0.0303901
1,3.1e+09,0.919644,-0.139089,-0.00399769,0.0080356,-0.00399769,0.0080356,0.994205,-0.0312731
1,3.2e+09,0.916751,-0.14107,-0.00406152,0.00846158,-0.00406152,0.00846158,0.9939,-0.032147
1,3.3e+09,0.913927,-0.142965,-0.00411538,0.00889008,-0.00411538,0.00889008,0.993593,-0.0330117
1,3.4e+09,0.911175,-0.14478,-0.00415934,0.00932041,-0.00415934,0.00932041,0.993284,-0.0338675
1,3.5e+09,0.908496,-0.146522,-0.00419353,0.00975189,-0.00419353,0.00975189,0.992973,-0.0347141
1,3.6e+09,0.905891,-0.148198,-0.0042181,0.0101839,-0.0042181,0.0101839,0.992662,-0.0355519
1,3.7e+09,0.903362,-0.149812,-0.00423325,0.0106159,-0.00423325,0.0106159,0.992349,-0.0363806
1,3.8e+09,0.900909,-0.151371,-0.00423918,0.0110472,-0.00423918,0.0110472,0.992036,-0.0372006
1,3.9e+09,0.898532,-0.152881,-0.00423614,0.0114775,-0.00423614,0.0114775,0.991724,-0.0380117
1,4e+09,0.896231,-0.154346,-0.00422445,0.0119063,-0.00422445,0.0119063,0.991412,-0.0388141
1,4.1e+09,0.894004,-0.155771,-0.0042045,0.0123331,-0.0042045,0.0123331,0.9911,-0.0396081
1,4.2e+09,0.891848,-0.15716,-0.00417666,0.0127577,-0.00417666,0.0127577,0.990789,-0.0403937
1,4.3e+09,0.889762,-0.158517,-0.00414134,0.0131799,-0.00414134,0.0131799,0.99048,-0.0411711
1,4.4e+09,0.887742,-0.159845,-0.0040989,0.0135993,-0.0040989,0.0135993,0.990172,-0.0419407
1,4.5e+09,0.885788,-0.161148,-0.00404973,0.0140158,-0.00404973,0.0140158,0.989865,-0.0427024
