ZM 1 imOhms X,ZM 1 imOhms Y
100000000,-4873.880521894875
110000000,-4430.864786150906
120000000,-4061.692451192957
130000000,-3749.322375042341
140000000,-3481.582427462
150000000,-3249.546445003673
160000000,-3046.519844096465
170000000,-2867.383261486841
180000000,-2708.154985670826
190000000,-2565.691570315393
200000000,-2437.47826518358
210000000,-2321.47932475295
220000000,-2216.029142345832
230000000,-2118.68210532514
240000000,-2031.50064107909
250000000,-1950.312561694489
260000000,-1875.372573286981
270000000,-1805.986440394822
280000000,-1741.559104578177
290000000,-1680.904755580836
300000000,-1625.5972979058
310000000,-1573.231026428105
320000000,-1524.139955356598
330000000,-1478.026338314781
340000000,-1434.627458021359
350000000,-1393.710622141562
360000000,-1355.068993117949
370000000,-1317.691791951818
380000000,-1283.892867602663
390000000,-1251.045184149708
400000000,-1219.841727898937
410000000,-1189.489292865594
420000000,-1161.897716923483
430000000,-1134.949585008556
440000000,-1109.228042924773
450000000,-1084.092777760494
460000000,-1060.610241054268
470000000,-1038.640024763026
480000000,-1017.074533282972
490000000,-996.3907692883021
500000000,-976.535829058958
510000000,-957.4609581867659
520000000,-939.1211526109375
530000000,-921.4748048086609
540000000,-904.4833892979312
550000000,-888.1111824555272
560000000,-872.3250123457898
570000000,-856.7460424685348
580000000,-842.0534497202264
590000000,-828.1847372764803
600000000,-814.4546618056236
610000000,-800.8721569881004
620000000,-788.3267907326906
630000000,-775.8867004781936
640000000,-763.8365134912539
650000000,-752.1582342097064
660000000,-740.834957718272
670000000,-729.8507883475255
680000000,-719.1907654652476
690000000,-708.8407957247606
700000000,-698.7875911143082
710000000,-689.0186122438574
720000000,-679.522016351444
730000000,-670.2866095956232
740000000,-660.8893086191774
750000000,-652.5575731610179
760000000,-644.044422991536
770000000,-635.7533495737985
780000000,-627.6758114715096
790000000,-619.8036997298328
800000000,-612.1293108420207
810000000,-604.6453217178864
820000000,-597.008972655664
830000000,-590.2210150069162
840000000,-583.2677528211567
850000000,-576.4789626428211
860000000,-569.8489070568129
870000000,-563.3721124366525
880000000,-557.0433539540126
890000000,-550.8576416052501
900000000,-544.5315890475121
910000000,-538.8964919985709
920000000,-532.8455335974063
930000000,-527.4529652948141
940000000,-521.914985548605
950000000,-516.4943693374909
960000000,-511.1874490283237
970000000,-505.7509621537545
980000000,-500.9007740660688
990000000,-495.9144099570002
1000000000,-491.0285087713114
1010000000,-486.2400864364162
1020000000,-481.5462758989641
1030000000,-476.9443214511484
1040000000,-472.4315733697007
1050000000,-467.8009948994455
1060000000,-463.6635973580463
1070000000,-459.4035559120667
1080000000,-455.2230850571522
1090000000,-451.119994747072
1100000000,-447.0921745729424
1110000000,-443.1375901779442
1120000000,-439.2542798562444
1130000000,-435.4403513437258
1140000000,-431.5206255817805
1150000000,-427.8430622261147
1160000000,-424.2295132027084
1170000000,-420.8428743348936
1180000000,-417.3496967569282
1190000000,-413.756820023427
1200000000,-410.5398379503827
1210000000,-407.2202393571163
1220000000,-403.8044008463092
1230000000,-400.7447661410213
1240000000,-397.5862507347641
1250000000,-394.4788593603579
1260000000,-391.4213747391065
1270000000,-388.4126179338346
1280000000,-385.4514468421795
1290000000,-382.4015480330522
1300000000,-379.6674691198237
1310000000,-376.8425499700759
1320000000,-374.0609889612386
1330000000,-371.3218080478334
1340000000,-368.6240583765447
1350000000,-365.8434330854697
1360000000,-363.3491968885102
1370000000,-360.7703238441725
1380000000,-358.2293576565971
1390000000,-355.7254801438432
1400000000,-353.2578965004765
1410000000,-350.82583447138
1420000000,-348.4285435486173
1430000000,-346.0652942199885
1440000000,-343.7353772345007
1450000000,-341.4381029085692
1460000000,-339.1728004506903
1470000000,-336.938817321139
1480000000,-334.5305207082998
1490000000,-332.5622864756726
1500000000,-330.4185195145403
1510000000,-328.3036322762788
1520000000,-326.2170547120991
1530000000,-324.1582316738487
1540000000,-322.1266224325464
1550000000,-320.1217002120982
1560000000,-318.1429517430428
1570000000,-316.1898768295475
1580000000,-314.2619879414952
1590000000,-312.3588098106801
1600000000,-310.4798790482419
1610000000,-308.6247437795118
1620000000,-306.7929632849367
1630000000,-304.9841076588723
1640000000,-303.0310911180433
1650000000,-301.4335034963309
1660000000,-299.6909463108019
1670000000,-297.9696960961081
1680000000,-296.2693723051962
1690000000,-294.5896033942676
1700000000,-292.9300265636716
1710000000,-291.2902874971698
1720000000,-289.6700401181707
1730000000,-288.068946350173
1740000000,-286.4866758872952
1750000000,-284.7767162733248
1760000000,-283.3773211868752
1770000000,-281.8496132304045
1780000000,-280.3394807357107
1790000000,-278.8466290686736
1800000000,-277.2326705841652
1810000000,-275.9116222244747
1820000000,-274.468909790919
1830000000,-273.0423633264749
1840000000,-271.4996220365156
1850000000,-270.2367193923253
1860000000,-268.8571115590344
1870000000,-267.4926486684289
1880000000,-266.14308896596
1890000000,-264.8081958100749
1900000000,-263.4877375409366
1910000000,-262.1814873492434
1920000000,-260.8892231486679
